Old Norse,Icelandic,Nynorsk
æðr,æður,åre
ævi,ævi,æve
afla,afla,avla
aka,aka,aka
aldr,aldur,alder
alfr,álfur,alv
and-,and-,and-
andi,andi,ande
api,api,ape
arfr,arfur,arv
báðir,báðir,både
baka,baka,baka
bakari,bakari,bakar
band,band,band
baun,baun,bønne
bein,bein,bein
betri,betri,betre
beygja,beygja,bøya
biðja,biðja,bede
biskup,biskup,biskop
bitr,bitur,bitter
bjǫrk,björk,bjørk
bjǫrn,björn,bjørn
bogi,bogi,boge
bógr,bógur,bog
dagr,dagur,dag
daufr,daufur,døv
dofinn,dofinn,doven
dǫgg,dögg,dogg
draga,draga,drage
draugr,draugur,draug
dreki,dreki,drake
drjúgr,drjúgur,dryg
drjúpa,drjúpa,drypa
dropi,dropi,drope
drykkr,drykkur,drikk
dúfa,dúfa,due
dúkr,dúkur,duk
dyrr,dyr,dør
edik,edik,eddik
eiðr,eiður,eid
eiga,eiga,eige
eign,eign,eign
eimr,eimur,eim
einn,einn,ei
elgr,elgur,elg
eptir,eftir,etter
fara,fara,fara
fastr,fastur,fast
fella,fella,felle
ferð,ferð,ferd
fimm,fimm,fem
fimmtán,fimmtán,femten
fiskr,fiskur,fisk
fjǫldi,fjöldi,fjølde
fjórði,fjórði,fjerde
fjórir,fjórir,fire
flá,flá,flå
fljúga,fljúga,flyga
fló,fló,flo
flytja,flytja,flytte
fótr,fótur,fot
fram,fram,fram
froskr,froskur,frosk
frú,frú,frue
fúss,fús,fus
gæta,gæta,gjete
gangr,gangur,gang
gaukr,gaukur,gauk
geispa,geispa,gispe
geta,geta,gidde
gil,gil,gjel
gjalda,gjalda,gjelda
gjóta,gjóta,gyta
gljá,gljá,glå
grautr,grautur,graut
grikkr,grikki,grekar
grunnr,grunnur,grunn
grýta,grýta,gryte
gulr,gulur,gul
gýgr,gýgur,gyger
hæll,hæll,hæl
haf,haf,hav
hafa,hafa,have
hagl,hagl,hagl
hani,hani,hane
hár,hár,hår
haukr,haukur,hauk
hauss,haus,haus
hefill,hefill,hevel
hegri,hegri,hegre
heili,heili,heile
heita,heit,heite
heita,heita,heite
hel,hel,hel
helgr,helgi,helg
helvíti,helvíti,helvete
helzt,helst,helst
herbergi,herbergi,herberge
hjól,hjól,hjul
hjǫrtr,hjörtur,hjort
hljóð,hljóð,lyd
hnísa,hnísa,nise
hugr,hugur,hug
hugsa,hugsa,hugsa
humarr,humar,hummar
hylja,hylja,hulder
hyrna,hyrna,hyrne
íss,ís,is
kaldr,kaldur,kald
karl,karl,kar
kefli,kefli,kjevle
kerra,kerra,kjerre
kiðlingr,kiðlingur,killing
kista,kista,kiste
kjǫlr,kjölur,kjøl
kné,kné,kne
knífr,hnífur,kniv
kǫngull,köngull,kongle
konungr,kóngur,konge
konungr,konungur,konge
kraptr,kraftur,kraft
kví,kví,kve
kvistr,kvistur,kvist
kyn,kyn,kjønn
lag,lag,lag
láss,lás,lås
leðr,leður,lêr
leggja,leggja,leggje
leggr,leggur,legg
leikr,leikur,lek
leysa,leysa,løysa
líða,líða,lida
líf,líf,liv
lifa,lifa,leva
líkr,líkur,lik
lín,lín,lin
ljúfr,ljúfur,ljuv
lófi,lófi,lóve
logi,logi,loge
lúðr,lúður,lur
lundi,lundi,lunde
lypta,lyfta,lyfta
mæla,mæla,mæla
magr,magur,mager
mála,mála,måle
meistari,meistari,meister
merki,merki,merke
móðir,móðir,mor
mót,mót,mot
muna,muna,monna
munu,munu,mune
mý,mý,mygg
myrða,myrða,myrde
nagl,nagli,nagl
nauð,nauð,nød
níu,níu,ni
ok,og,òg
ǫnd,önd,ånd
opinn,opinn,open
opna,opna,opna
ormr,ormur,orm
øx,öxi,øks
panna,panna,panne
plaz,pláss,plass
plóma,plóma,plomme
raust,raust,røyst
reiða,reiða,reie
réttr,réttur,rett
reyðr,reyður,røye
reykr,reykur,røyk
reyrr,reyr,røyr
rjúpa,rjúpa,rype
sæti,sæti,sæte
sannr,sannur,sann
sex,sex,seks
síga,síga,siga
sigla,sigla,segle
silfr,silfur,sølv
sjón,sjón,sjon
skapa,skapa,skapa
skilja,skilja,skilje
skína,skína,skina
skip,skip,skip
skuggi,skuggi,skygge
skulu,skulu,skulle
skulu,skulu,sku
smíða,smíða,smi
snær,snær,snjo
soð,soð,sodd
sól,sól,sol
spenna,spenna,spenne
stál,stál,stål
standa,standa,stå
staurr,staur,staur
steinn,steinn,stein
strá,strá,strøya
straumr,straumur,straum
stýri,stýri,styre
súga,sjúga,suga
sunnudagr,sunnudagur,sundag
súrr,súr,sur
svanr,svanur,svane
svartr,svartur,svart
svefn,svefn,søvn
sýn,sýn,syn
systir,systir,syster
temja,temja,temja
til,til,til
tíundi,tíundi,tiande
tjaldr,tjaldur,tjeld
tjara,tjara,tjære
tólf,tólf,tolv
tún,tún,tun
tunga,tunga,tunge
upp,upp,på
út,út,ut
væta,væta,væte
vagn,vagn,vogn
vanta,vanta,vanta
vápn,vopn,våpen
vargr,vargur,varg
vax,vax,voks
veðr,veður,vêr
veggr,veggur,vegg
veifa,veifa,veive
veikja,veikja,veika
veikr,veikur,veik
velja,velja,velja
vík,vík,vik
vili,vilji,vilje
vinr,vinur,ven
víss,vís,viss
vissa,vissa,visse
vǫllr,völlur,voll
yfir,yfir,over
ýsa,ýsa,hyse
þing,þing,ting
þjóna,þjóna,tena
þó,þó,do
þórr,þór,tore
þorri,þorri,torre
þrettán,þrettán,tretten
þú,þú,du
þurr,þurr,tørr
þýðverskr,þýskur,tysk
þyrstr,þyrstur,tørst
